id_setor_censitario,pessoas_5anos_mais_alfab
355030801000001,742
355030801000002,833
355030801000003,575
355030801000004,530
355030801000005,678
355030801000006,595
355030801000007,648
355030801000008,704
355030801000009,620
355030801000010,651
355030801000011,660
355030801000012,816
355030801000013,566
355030801000014,916
355030801000015,586
355030801000016,465
355030801000017,547
355030801000018,657
355030801000019,752
355030801000020,668
355030801000021,740
355030801000022,721
355030801000023,600
355030801000024,512
355030801000025,804
355030801000026,532
355030801000027,907
355030801000028,411
355030801000029,647
355030801000030,591
355030801000031,701
355030801000032,627
355030801000033,635
355030801000034,550
355030801000035,735
355030801000036,712
355030801000037,934
355030801000038,713
355030801000039,797
355030801000040,760
355030801000041,865
355030801000042,393
355030801000043,649
355030801000044,807
355030801000045,352
355030801000046,647
355030801000047,680
355030801000048,426
355030801000049,577
355030801000050,701
355030801000051,736
355030801000052,487
355030801000053,611
355030801000054,614
355030801000055,883
355030801000056,505
355030801000057,779
355030801000058,576
355030801000059,678
355030801000060,139
355030801000061,342
355030801000062,1241
355030801000063,342
355030801000064,409
355030801000065,572
355030801000066,445
355030801000067,563
355030801000068,763
355030801000069,606
355030801000070,783
355030801000071,1095
355030801000072,598
355030801000073,608
355030801000074,552
355030801000075,780
355030801000076,1030
355030801000077,583
355030801000078,423
355030801000079,420
355030801000080,890
355030801000081,906
355030801000082,940
355030801000083,1106
355030801000084,377
355030801000085,526
355030801000086,709
355030801000087,875
355030801000088,551
355030801000089,364
355030801000090,438
355030801000091,472
355030801000092,484
355030801000093,422
355030801000094,637
355030801000095,684
355030801000096,415
355030801000097,319
355030801000098,607
355030801000099,459
355030801000100,613
355030801000101,675
355030801000102,596
355030801000103,395
355030801000104,741
355030801000105,157
355030801000106,517
355030801000107,320
355030801000108,619
355030801000109,498
355030801000110,675
355030801000111,739
355030801000112,415
355030801000113,533
355030801000114,346
355030801000115,190
355030801000116,381
355030801000117,452
355030801000118,433
355030801000119,778
355030801000120,782
355030801000121,817
355030801000122,697
355030801000123,277
355030801000124,257
355030801000125,468
355030801000126,812
355030801000127,490
355030801000128,483
355030801000129,245
355030801000130,499
355030802000001,501
355030802000002,447
355030802000003,617
355030802000004,483
355030802000005,765
355030802000006,625
355030802000007,582
355030802000008,849
355030802000009,549
355030802000010,703
355030802000011,782
355030802000012,376
355030802000013,784
355030802000014,352
355030802000015,416
355030802000016,346
355030802000017,772
355030802000018,886
355030802000019,701
355030802000020,513
355030802000021,456
355030802000022,554
355030802000023,589
355030802000024,429
355030802000025,571
355030802000026,600
355030802000027,652
355030802000028,380
355030802000029,495
355030802000030,300
355030802000031,751
355030802000033,236
