id_setor_censitario,dom_alugados
355030801000001,116
355030801000002,85
355030801000004,87
355030801000005,112
355030801000008,101
355030801000009,111
355030801000011,92
355030801000016,88
355030801000017,89
355030801000020,110
355030801000021,100
355030801000025,129
355030801000029,123
355030801000030,81
355030801000037,117
355030801000039,95
355030801000040,85
355030801000044,108
355030801000047,82
355030801000050,90
355030801000051,88
355030801000057,107
355030801000062,86
355030801000068,83
355030801000075,95
355030801000080,91
355030801000082,86
355030801000083,90
355030801000087,84
355030801000104,91
355030801000108,82
355030802000055,113
355030802000056,82
355030802000064,87
355030803000001,91
355030803000005,163
355030803000006,115
355030803000007,169
355030803000008,114
355030803000010,133
355030803000011,148
355030803000012,82
355030803000014,82
355030803000017,100
355030803000018,82
355030803000024,122
355030803000025,93
355030803000030,129
355030803000035,81
355030803000036,150
355030803000038,109
355030803000040,107
355030803000055,127
355030803000076,95
355030803000077,138
355030803000079,131
355030803000114,89
355030804000014,86
355030804000021,82
355030804000071,85
355030804000078,88
355030804000080,95
355030804000104,81
355030804000106,86
355030805000006,94
355030805000007,108
355030805000018,82
355030805000035,114
355030805000037,87
355030805000045,87
355030805000063,137
355030805000069,81
355030805000083,83
355030805000100,81
355030805000102,139
355030805000103,85
355030805000127,87
355030805000130,102
355030805000145,97
355030806000002,97
355030806000013,117
355030806000015,99
355030806000019,91
355030806000020,130
355030806000021,105
355030807000002,93
355030807000003,85
355030807000006,97
355030807000007,83
355030807000013,89
355030807000014,121
355030807000016,120
355030807000017,141
355030807000018,147
355030807000027,92
355030807000031,138
355030807000032,97
355030807000033,87
355030807000035,105
355030807000037,144
355030807000038,89
355030807000039,109
355030807000041,178
355030807000042,81
355030807000043,152
355030807000044,120
355030807000048,123
355030807000054,188
355030807000057,89
355030807000064,120
355030807000066,251
355030807000068,133
355030807000069,150
355030807000072,109
355030807000075,102
355030807000077,98
355030807000078,82
355030807000083,88
355030807000084,87
355030807000086,153
355030807000088,105
355030807000090,94
355030807000091,95
355030807000093,86
355030807000094,91
355030807000099,155
355030807000101,113
355030807000102,117
355030807000103,149
355030807000104,202
355030807000105,135
355030807000106,164
355030807000107,169
355030807000108,168
355030807000109,96
