id_setor_censitario,sigla_uf,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063
355030803000005,SP1,15,20,9,23,17,26,13,25,18,19,33,20
355030803000007,SP1,20,21,21,17,11,17,25,19,15,12,21,15
355030803000011,SP1,15,14,11,16,18,16,10,17,10,18,18,13
355030803000012,SP1,6,9,9,11,10,13,8,17,8,11,7,9
355030803000030,SP1,11,15,15,17,14,11,21,18,13,9,11,16
355030803000077,SP1,15,27,16,19,17,16,14,19,14,21,21,17
355030803000079,SP1,23,15,10,22,14,9,19,17,14,16,17,9
355030805000103,SP1,11,10,10,11,14,19,13,17,10,10,15,7
355030806000015,SP1,6,17,8,11,11,9,19,23,5,8,5,13
355030807000037,SP1,5,4,7,5,6,6,12,17,6,7,1,5
355030808000008,SP1,8,25,32,65,63,63,60,78,69,67,72,77
355030809000021,SP1,11,11,24,25,23,25,31,37,17,24,24,28
355030809000024,SP1,5,8,13,5,13,15,7,18,6,8,8,4
355030810000004,SP1,9,10,15,9,13,11,14,25,17,11,14,15
355030810000015,SP1,9,7,11,6,11,9,11,17,6,4,13,9
355030810000025,SP1,8,28,21,17,15,17,27,25,15,18,18,18
355030810000039,SP1,8,8,4,7,5,8,11,18,8,10,9,9
355030811000003,SP1,15,15,12,11,12,24,20,19,17,15,18,13
355030811000065,SP1,6,7,10,6,10,12,6,17,7,10,4,7
355030811000068,SP1,18,12,15,25,16,16,7,22,14,14,11,18
355030811000090,SP1,7,22,17,14,17,8,8,20,6,16,10,11
355030811000137,SP1,11,10,17,20,16,18,20,19,11,15,13,16
355030811000140,SP1,26,27,30,29,21,29,28,37,28,33,35,32
355030811000188,SP1,15,10,12,14,19,14,9,21,9,15,20,15
355030811000195,SP1,9,17,9,17,16,11,13,18,10,16,9,12
355030811000221,SP1,19,22,16,14,18,17,17,20,18,16,28,21
355030811000331,SP1,19,19,13,31,29,22,19,20,27,25,23,26
355030811000339,SP1,31,28,21,30,25,20,28,24,15,31,17,22
355030811000354,SP1,7,23,19,29,13,15,17,21,16,17,13,13
355030811000355,SP1,7,11,7,9,8,5,11,20,12,12,21,14
355030812000125,SP1,1,6,12,20,23,40,32,37,38,33,26,18
355030813000062,SP1,19,13,12,9,19,23,18,20,9,17,11,4
355030813000064,SP1,4,12,14,14,10,8,9,17,9,16,14,16
355030813000142,SP1,12,11,20,18,17,16,12,21,13,12,17,11
355030813000186,SP1,19,21,22,39,24,28,24,20,27,19,20,26
355030815000082,SP1,24,5,12,11,18,14,6,17,6,12,7,11
355030817000011,SP1,21,18,24,15,24,24,19,19,17,17,18,25
355030817000098,SP1,8,7,20,11,14,8,12,18,12,10,10,11
355030817000107,SP1,15,17,14,16,10,12,14,17,11,20,17,23
355030817000148,SP1,8,13,9,12,14,5,16,20,8,19,19,20
355030817000150,SP1,18,11,14,16,13,14,12,24,14,15,14,13
355030817000153,SP1,8,13,5,10,11,12,12,20,15,9,17,6
355030817000168,SP1,10,16,12,12,14,15,20,28,12,14,9,14
355030817000177,SP1,20,25,26,25,27,22,22,20,24,25,24,18
355030817000179,SP1,8,13,9,8,11,12,16,17,8,9,11,9
355030817000216,SP1,10,10,11,10,4,11,15,18,14,10,9,17
355030817000301,SP1,1,2,4,0,7,3,10,18,16,16,23,19
355030818000046,SP1,7,7,8,12,8,9,24,17,4,15,9,11
355030819000072,SP1,6,7,6,11,14,14,20,18,20,14,15,7
355030819000081,SP1,16,17,14,16,18,17,15,17,19,14,9,13
355030819000216,SP1,21,14,11,19,17,25,10,17,17,9,29,20
355030819000243,SP1,9,5,12,13,4,4,11,18,11,12,12,5
355030819000284,SP1,6,17,13,12,19,13,6,23,16,16,10,16
355030820000094,SP1,7,7,9,8,9,14,9,18,6,9,3,7
355030822000008,SP1,9,7,6,9,5,8,25,17,12,13,16,15
355030822000026,SP1,9,7,9,8,10,15,16,18,17,8,14,14
355030822000052,SP1,15,9,17,17,14,21,17,18,10,11,15,12
355030822000092,SP1,11,9,15,7,11,12,10,20,10,20,9,20
355030822000154,SP1,7,9,10,11,12,12,6,18,10,5,8,4
355030822000217,SP1,8,5,13,6,8,13,9,17,8,18,15,7
355030822000259,SP1,20,17,10,15,16,10,15,17,17,10,15,24
355030822000260,SP1,16,7,16,5,15,11,14,18,22,10,12,6
355030822000282,SP1,1,1,5,3,8,5,11,19,14,21,24,14
355030823000081,SP1,20,16,17,10,14,17,11,25,9,11,12,12
355030823000086,SP1,12,7,16,8,12,11,14,18,14,12,8,13
355030823000137,SP1,6,5,15,9,16,13,10,17,13,20,18,24
355030823000138,SP1,7,7,7,12,11,10,7,17,8,2,10,4
355030823000186,SP1,13,9,8,10,13,12,12,17,14,9,22,13
355030824000022,SP1,16,10,10,17,13,15,9,18,13,9,13,7
355030824000090,SP1,22,17,16,28,18,23,46,31,25,22,30,37
355030824000165,SP1,20,12,23,26,26,14,26,22,13,15,16,19
355030825000258,SP1,10,8,7,14,11,6,13,18,13,8,6,8
355030827000118,SP1,9,8,17,14,17,16,19,27,10,16,21,21
355030827000119,SP1,5,6,15,11,13,6,11,19,2,8,17,12
355030827000151,SP1,14,21,14,17,25,23,29,29,29,32,27,20
355030828000068,SP1,6,6,2,7,7,12,8,17,8,5,6,8
355030828000070,SP1,7,11,3,9,11,10,13,19,15,11,9,10
355030828000077,SP1,10,8,10,5,7,16,14,18,7,13,16,19
355030828000162,SP1,7,10,9,9,13,5,14,17,6,8,5,5
355030829000066,SP1,5,6,5,9,6,8,14,18,8,12,13,8
355030829000082,SP1,7,12,4,4,7,10,15,23,11,16,23,15
355030830000030,SP1,1,12,9,7,10,10,13,18,10,23,12,13
355030830000045,SP1,4,5,8,11,12,3,6,25,11,13,10,12
355030830000073,SP1,14,30,31,25,15,32,33,23,17,25,23,25
355030830000074,SP1,20,29,20,30,29,22,35,25,24,35,28,25
355030830000136,SP1,7,5,10,8,6,10,9,19,5,7,9,4
355030830000144,SP1,17,19,10,17,19,20,21,23,16,9,13,10
355030830000179,SP1,17,6,13,12,7,11,8,17,13,7,10,10
355030830000194,SP1,13,14,23,17,18,20,13,21,14,6,9,14
355030830000195,SP1,15,14,19,25,22,21,12,19,13,11,8,12
355030830000293,SP1,21,9,6,13,17,9,6,17,14,12,14,8
