id_setor_censitario,total_renda
355030801000001,1815554
355030801000002,1693050
355030801000003,1011324
355030801000004,892022
355030801000005,1230430
355030801000006,1014056
355030801000007,894972
355030801000008,930120
355030801000009,1254300
355030801000010,1597262
355030801000011,1923456
355030801000012,2238480
355030801000013,2120768
355030801000014,2178464
355030801000015,1582524
355030801000016,599000
355030801000017,1033774
355030801000018,1238014
355030801000019,1955330
355030801000020,1207478
355030801000021,1809156
355030801000022,1456112
355030801000023,1117594
355030801000024,1183088
355030801000025,1118598
355030801000026,1317660
355030801000027,2949534
355030801000028,934168
355030801000029,1489256
355030801000030,1098216
355030801000031,2515882
355030801000032,1721610
355030801000033,1846398
355030801000034,1072754
355030801000035,1511308
355030801000036,1728616
355030801000037,1981268
355030801000038,935448
355030801000039,1314082
355030801000040,1213576
355030801000041,3052568
355030801000042,567380
355030801000043,1082324
355030801000044,1164614
355030801000045,824606
355030801000046,1707104
355030801000047,1529716
355030801000048,622046
355030801000049,2028916
355030801000050,1487406
355030801000051,1511356
355030801000052,1451054
355030801000053,2732866
355030801000054,2682678
355030801000055,5562490
355030801000056,1723760
355030801000057,1587698
355030801000058,1716678
355030801000059,3237044
355030801000060,243878
355030801000061,1478142
355030801000062,8089222
355030801000063,573628
355030801000064,791256
355030801000065,2513100
355030801000066,842958
355030801000067,1125880
355030801000068,1762932
355030801000069,1452150
355030801000070,2057608
355030801000071,3509442
355030801000072,1327552
355030801000073,1090264
355030801000074,650838
355030801000075,1399154
355030801000076,5397116
355030801000077,3137488
355030801000078,1000282
355030801000079,658110
355030801000080,4086636
355030801000081,3373208
355030801000082,3924664
355030801000083,5117484
355030801000084,929640
355030801000085,2959740
355030801000086,1698258
355030801000087,2159190
355030801000088,1439928
355030801000089,707910
355030801000090,742882
355030801000091,738344
355030801000092,979540
355030801000093,818176
355030801000094,1761516
355030801000095,1792558
355030801000096,945210
355030801000097,614050
355030801000098,1008796
355030801000099,834258
355030801000100,2048744
355030801000101,1943798
355030801000102,2949516
355030801000103,1176072
355030801000104,2305730
355030801000105,360308
355030801000106,2198940
355030801000107,798930
355030801000108,2096052
355030801000109,1378422
355030801000110,2145170
355030801000111,2338386
355030801000112,1030352
355030801000113,1174896
355030801000114,582040
355030801000115,204306
355030801000116,676140
355030801000117,2377542
355030801000118,1766446
355030801000119,6339470
355030801000120,4309822
355030801000121,2601280
355030801000122,2597442
355030801000123,518864
355030801000124,449840
355030801000125,1676756
355030801000126,2217030
355030801000127,1311174
355030801000128,4467970
355030801000129,1233266
355030801000130,1818506
355030802000001,5670300
355030802000002,4189322
355030802000003,4541236
355030802000004,2874492
355030802000005,5034000
355030802000006,4409520
355030802000007,3926176
355030802000008,6819080
355030802000009,3034440
355030802000010,4449796
355030802000011,4791942
355030802000012,2827674
355030802000013,9918308
355030802000014,3503422
355030802000015,2876388
355030802000016,3880944
355030802000017,6392136
355030802000018,12613876
355030802000019,2122608
355030802000020,1598610
355030802000021,1682206
355030802000022,6467834
355030802000023,7116804
355030802000024,3805544
355030802000025,3393670
355030802000026,3326860
355030802000027,3892810
355030802000028,2946422
355030802000029,4044514
355030802000030,1623280
355030802000031,5869284
355030802000033,1089818
355030802000034,3089778
355030802000035,5331318
355030802000036,8514864
355030802000037,7607814
355030802000038,4637730
355030802000039,4875186
355030802000040,1619896
355030802000041,4964106
355030802000042,8756690
355030802000043,14059522
355030802000044,5921920
355030802000045,5140820
355030802000046,1725506
355030802000047,6542032
355030802000048,4498276
355030802000049,2500088
